contagion_type,population_density,k_cap_mean,k_cap_sd,network_replicate,contagion_replicate,final_infected_fraction,time_to_majority,reached_majority_spread,max_slope
simple,0.00031622776601683794,50,25.0,18,4,1.0,26.0,True,0.09300000000000003
simple,0.00031622776601683794,50,25.0,19,0,1.0,18,True,0.08599999999999997
simple,0.00031622776601683794,50,25.0,19,1,1.0,16,True,0.10000000000000003
simple,0.00031622776601683794,50,25.0,19,2,1.0,21,True,0.09900000000000009
simple,0.00031622776601683794,50,25.0,19,3,1.0,19,True,0.09399999999999997
simple,0.00031622776601683794,50,25.0,19,4,1.0,32,True,0.09400000000000003
simple,0.00031622776601683794,50,25.0,20,0,1.0,19,True,0.09599999999999997
simple,0.00031622776601683794,50,25.0,20,1,1.0,23,True,0.09200000000000003
simple,0.00031622776601683794,50,25.0,20,2,1.0,25,True,0.09300000000000003
simple,0.00031622776601683794,50,25.0,20,3,1.0,19,True,0.09999999999999998
simple,0.00031622776601683794,50,25.0,20,4,1.0,20,True,0.08600000000000002
simple,0.00031622776601683794,50,25.0,21,0,1.0,23,True,0.10900000000000004
simple,0.00031622776601683794,50,25.0,21,1,1.0,18,True,0.11099999999999999
simple,0.00031622776601683794,50,25.0,21,2,1.0,16,True,0.09000000000000002
simple,0.00031622776601683794,50,25.0,21,3,1.0,18,True,0.08699999999999997
simple,0.00031622776601683794,50,25.0,21,4,1.0,23,True,0.09300000000000003
simple,0.00031622776601683794,50,25.0,22,0,1.0,17.0,True,0.10800000000000004
simple,0.00031622776601683794,50,25.0,22,1,1.0,34.0,True,0.08700000000000002
simple,0.00031622776601683794,50,25.0,22,2,1.0,18.0,True,0.09100000000000003
simple,0.00031622776601683794,50,25.0,22,3,1.0,17.0,True,0.09400000000000003
simple,0.00031622776601683794,50,25.0,22,4,1.0,17.0,True,0.09500000000000003
simple,0.00031622776601683794,50,25.0,23,0,1.0,18.0,True,0.08700000000000008
simple,0.00031622776601683794,50,25.0,23,1,1.0,22.0,True,0.09200000000000003
simple,0.00031622776601683794,50,25.0,23,2,1.0,18.0,True,0.11599999999999999
simple,0.00031622776601683794,50,25.0,23,3,1.0,20.0,True,0.10099999999999998
simple,0.00031622776601683794,50,25.0,23,4,1.0,21.0,True,0.09199999999999997
simple,0.00031622776601683794,50,25.0,24,0,1.0,23.0,True,0.09000000000000008
simple,0.00031622776601683794,50,25.0,24,1,1.0,22.0,True,0.08600000000000002
simple,0.00031622776601683794,50,25.0,24,2,1.0,18.0,True,0.09000000000000002
simple,0.00031622776601683794,50,25.0,24,3,1.0,32.0,True,0.092
simple,0.00031622776601683794,50,25.0,24,4,1.0,25.0,True,0.09899999999999998
simple,0.00031622776601683794,50,25.0,25,0,1.0,18.0,True,0.09899999999999998
simple,0.00031622776601683794,50,25.0,25,1,1.0,22.0,True,0.08900000000000008
simple,0.00031622776601683794,50,25.0,25,2,1.0,20.0,True,0.10400000000000004
simple,0.00031622776601683794,50,25.0,25,3,1.0,27.0,True,0.09799999999999998
simple,0.00031622776601683794,50,25.0,25,4,1.0,17.0,True,0.10499999999999998
simple,0.00031622776601683794,50,25.0,26,0,1.0,14.0,True,0.10299999999999998
simple,0.00031622776601683794,50,25.0,26,1,1.0,18.0,True,0.09499999999999997
simple,0.00031622776601683794,50,25.0,26,2,1.0,21.0,True,0.09000000000000002
simple,0.00031622776601683794,50,25.0,26,3,1.0,25.0,True,0.09099999999999997
simple,0.00031622776601683794,50,25.0,26,4,1.0,26.0,True,0.10099999999999998
simple,0.00031622776601683794,50,25.0,27,0,1.0,20.0,True,0.09699999999999998
simple,0.00031622776601683794,50,25.0,27,1,1.0,20.0,True,0.10000000000000003
simple,0.00031622776601683794,50,25.0,27,2,1.0,20.0,True,0.09899999999999998
simple,0.00031622776601683794,50,25.0,27,3,1.0,17.0,True,0.09500000000000003
simple,0.00031622776601683794,50,25.0,27,4,1.0,16.0,True,0.10299999999999998
simple,0.00031622776601683794,50,25.0,28,0,1.0,20.0,True,0.09900000000000003
simple,0.00031622776601683794,50,25.0,28,1,1.0,24.0,True,0.09799999999999998
simple,0.00031622776601683794,50,25.0,28,2,1.0,27.0,True,0.09899999999999998
simple,0.00031622776601683794,50,25.0,28,3,1.0,19.0,True,0.08900000000000008
simple,0.00031622776601683794,50,25.0,28,4,1.0,18.0,True,0.10099999999999998
simple,0.00031622776601683794,50,25.0,29,0,1.0,20.0,True,0.08700000000000002
simple,0.00031622776601683794,50,25.0,29,1,1.0,17.0,True,0.11300000000000004
simple,0.00031622776601683794,50,25.0,29,2,1.0,25.0,True,0.09900000000000009
simple,0.00031622776601683794,50,25.0,29,3,1.0,21.0,True,0.09600000000000003
simple,0.00031622776601683794,50,25.0,29,4,1.0,21.0,True,0.09799999999999998
simple,0.00031622776601683794,50,25.0,30,0,1.0,21.0,True,0.10499999999999998
simple,0.00031622776601683794,50,25.0,30,1,1.0,20.0,True,0.08700000000000008
simple,0.00031622776601683794,50,25.0,30,2,1.0,20.0,True,0.10299999999999998
simple,0.00031622776601683794,50,25.0,30,3,1.0,24.0,True,0.10399999999999998
simple,0.00031622776601683794,50,25.0,30,4,1.0,18.0,True,0.1050000000000001
simple,0.00031622776601683794,50,25.0,31,0,1.0,32,True,0.09399999999999997
simple,0.00031622776601683794,50,25.0,31,1,1.0,21,True,0.09800000000000003
simple,0.00031622776601683794,50,25.0,31,2,1.0,18,True,0.08799999999999997
simple,0.00031622776601683794,50,25.0,31,3,1.0,17,True,0.09299999999999997
simple,0.00031622776601683794,50,25.0,31,4,1.0,16,True,0.11599999999999999
simple,0.00031622776601683794,50,25.0,32,0,0.999,23.0,True,0.09200000000000003
simple,0.00031622776601683794,50,25.0,32,1,1.0,19.0,True,0.09899999999999998
simple,0.00031622776601683794,50,25.0,32,2,1.0,20.0,True,0.09000000000000002
simple,0.00031622776601683794,50,25.0,32,3,1.0,19.0,True,0.09800000000000003
simple,0.00031622776601683794,50,25.0,32,4,1.0,24.0,True,0.09200000000000003
simple,0.00031622776601683794,50,25.0,33,0,1.0,18.0,True,0.10100000000000003
simple,0.00031622776601683794,50,25.0,33,1,1.0,24.0,True,0.09399999999999997
simple,0.00031622776601683794,50,25.0,33,2,1.0,27.0,True,0.09700000000000003
simple,0.00031622776601683794,50,25.0,33,3,1.0,20.0,True,0.09600000000000003
simple,0.00031622776601683794,50,25.0,33,4,1.0,19.0,True,0.09500000000000003
simple,0.00031622776601683794,50,25.0,34,0,1.0,23.0,True,0.09799999999999998
simple,0.00031622776601683794,50,25.0,34,1,1.0,19.0,True,0.10100000000000003
simple,0.00031622776601683794,50,25.0,34,2,1.0,17.0,True,0.09000000000000002
simple,0.00031622776601683794,50,25.0,34,3,1.0,32.0,True,0.09000000000000002
simple,0.00031622776601683794,50,25.0,34,4,1.0,21.0,True,0.09100000000000003
simple,0.00031622776601683794,50,25.0,35,0,1.0,22,True,0.08699999999999997
simple,0.00031622776601683794,50,25.0,35,1,1.0,20,True,0.09400000000000003
simple,0.00031622776601683794,50,25.0,35,2,1.0,21,True,0.08999999999999997
simple,0.00031622776601683794,50,25.0,35,3,1.0,20,True,0.09599999999999997
simple,0.00031622776601683794,50,25.0,35,4,1.0,19,True,0.08700000000000002
simple,0.00031622776601683794,50,25.0,36,0,1.0,22.0,True,0.08499999999999996
simple,0.00031622776601683794,50,25.0,36,1,1.0,19.0,True,0.09499999999999997
simple,0.00031622776601683794,50,25.0,36,2,1.0,19.0,True,0.10499999999999998
simple,0.00031622776601683794,50,25.0,36,3,1.0,22.0,True,0.10500000000000004
simple,0.00031622776601683794,50,25.0,36,4,1.0,16.0,True,0.10000000000000003
simple,0.00031622776601683794,50,25.0,37,0,1.0,27.0,True,0.09100000000000003
simple,0.00031622776601683794,50,25.0,37,1,1.0,20.0,True,0.08600000000000002
simple,0.00031622776601683794,50,25.0,37,2,1.0,23.0,True,0.08999999999999997
simple,0.00031622776601683794,50,25.0,37,3,1.0,23.0,True,0.09300000000000003
simple,0.00031622776601683794,50,25.0,37,4,1.0,19.0,True,0.08900000000000002
simple,0.00031622776601683794,50,25.0,38,0,1.0,20.0,True,0.09899999999999998
simple,0.00031622776601683794,50,25.0,38,1,1.0,20.0,True,0.10200000000000004
simple,0.00031622776601683794,50,25.0,38,2,1.0,16.0,True,0.10299999999999998
simple,0.00031622776601683794,50,25.0,38,3,1.0,15.0,True,0.10199999999999998
simple,0.00031622776601683794,50,25.0,38,4,1.0,24.0,True,0.09699999999999998
simple,0.00031622776601683794,50,25.0,39,0,1.0,17.0,True,0.09600000000000003
simple,0.00031622776601683794,50,25.0,39,1,1.0,23.0,True,0.09000000000000002
simple,0.00031622776601683794,50,25.0,39,2,0.999,17.0,True,0.08500000000000002
simple,0.00031622776601683794,50,25.0,39,3,1.0,24.0,True,0.09299999999999997
simple,0.00031622776601683794,50,25.0,39,4,1.0,23.0,True,0.09300000000000003
simple,0.00031622776601683794,50,25.0,40,0,1.0,18.0,True,0.09099999999999997
simple,0.00031622776601683794,50,25.0,40,1,1.0,22.0,True,0.11199999999999993
simple,0.00031622776601683794,50,25.0,40,2,1.0,24.0,True,0.09499999999999997
simple,0.00031622776601683794,50,25.0,40,3,1.0,19.0,True,0.09599999999999997
simple,0.00031622776601683794,50,25.0,40,4,1.0,17.0,True,0.098
simple,0.00031622776601683794,50,25.0,41,0,1.0,16,True,0.09200000000000003
simple,0.00031622776601683794,50,25.0,41,1,1.0,25,True,0.10100000000000003
simple,0.00031622776601683794,50,25.0,41,2,1.0,27,True,0.08099999999999996
simple,0.00031622776601683794,50,25.0,41,3,1.0,24,True,0.10100000000000003
simple,0.00031622776601683794,50,25.0,41,4,1.0,21,True,0.09499999999999997
simple,0.00031622776601683794,50,25.0,42,0,1.0,20.0,True,0.09300000000000003
simple,0.00031622776601683794,50,25.0,42,1,1.0,21.0,True,0.08899999999999997
simple,0.00031622776601683794,50,25.0,42,2,1.0,16.0,True,0.09100000000000003
simple,0.00031622776601683794,50,25.0,42,3,1.0,20.0,True,0.09000000000000002
simple,0.00031622776601683794,50,25.0,42,4,1.0,19.0,True,0.09800000000000003
simple,0.00031622776601683794,50,25.0,43,0,1.0,18.0,True,0.10400000000000004
simple,0.00031622776601683794,50,25.0,43,1,1.0,20.0,True,0.08699999999999997
simple,0.00031622776601683794,50,25.0,43,2,1.0,22.0,True,0.09799999999999998
simple,0.00031622776601683794,50,25.0,43,3,1.0,23.0,True,0.08800000000000002
simple,0.00031622776601683794,50,25.0,43,4,1.0,21.0,True,0.08499999999999996
simple,0.00031622776601683794,50,25.0,44,0,0.999,18.0,True,0.1060000000000001
simple,0.00031622776601683794,50,25.0,44,1,1.0,22.0,True,0.09299999999999997
simple,0.00031622776601683794,50,25.0,44,2,1.0,17.0,True,0.11099999999999999
simple,0.00031622776601683794,50,25.0,44,3,1.0,21.0,True,0.09400000000000003
simple,0.00031622776601683794,50,25.0,44,4,1.0,18.0,True,0.09999999999999998
simple,0.00031622776601683794,50,25.0,45,0,1.0,26.0,True,0.08200000000000002
simple,0.00031622776601683794,50,25.0,45,1,1.0,21.0,True,0.08799999999999997
simple,0.00031622776601683794,50,25.0,45,2,1.0,19.0,True,0.09099999999999997
simple,0.00031622776601683794,50,25.0,45,3,1.0,22.0,True,0.09399999999999997
simple,0.00031622776601683794,50,25.0,45,4,1.0,27.0,True,0.10299999999999998
simple,0.00031622776601683794,50,25.0,46,0,1.0,18.0,True,0.09700000000000003
simple,0.00031622776601683794,50,25.0,46,1,1.0,20.0,True,0.08999999999999997
simple,0.00031622776601683794,50,25.0,46,2,1.0,23.0,True,0.09500000000000003
simple,0.00031622776601683794,50,25.0,46,3,1.0,18.0,True,0.09899999999999998
simple,0.00031622776601683794,50,25.0,46,4,1.0,17.0,True,0.09000000000000002
simple,0.00031622776601683794,50,25.0,47,0,1.0,35.0,True,0.08500000000000002
simple,0.00031622776601683794,50,25.0,47,1,1.0,18.0,True,0.122
simple,0.00031622776601683794,50,25.0,47,2,1.0,25.0,True,0.09499999999999997
simple,0.00031622776601683794,50,25.0,47,3,1.0,16.0,True,0.09900000000000003
simple,0.00031622776601683794,50,25.0,47,4,1.0,26.0,True,0.08999999999999997
simple,0.00031622776601683794,50,25.0,48,0,1.0,19.0,True,0.09400000000000003
simple,0.00031622776601683794,50,25.0,48,1,1.0,27.0,True,0.10199999999999992
simple,0.00031622776601683794,50,25.0,48,2,1.0,19.0,True,0.09799999999999998
simple,0.00031622776601683794,50,25.0,48,3,1.0,19.0,True,0.10200000000000004
simple,0.00031622776601683794,50,25.0,48,4,1.0,20.0,True,0.10099999999999998
simple,0.00031622776601683794,50,25.0,49,0,1.0,17.0,True,0.09200000000000003
simple,0.00031622776601683794,50,25.0,49,1,1.0,21.0,True,0.09499999999999997
simple,0.00031622776601683794,50,25.0,49,2,1.0,16.0,True,0.09599999999999997
simple,0.00031622776601683794,50,25.0,49,3,1.0,21.0,True,0.09200000000000008
simple,0.00031622776601683794,50,25.0,49,4,1.0,18.0,True,0.09600000000000003
simple,0.001,50,25.0,0,0,1.0,17.0,True,0.09900000000000003
simple,0.001,50,25.0,0,1,1.0,18.0,True,0.08899999999999997
simple,0.001,50,25.0,0,2,1.0,41.0,True,0.09000000000000008
simple,0.001,50,25.0,0,3,1.0,25.0,True,0.09700000000000003
simple,0.001,50,25.0,0,4,1.0,20.0,True,0.08599999999999997
simple,0.001,50,25.0,1,0,1.0,18.0,True,0.10599999999999998
simple,0.001,50,25.0,1,1,1.0,30.0,True,0.08700000000000008
simple,0.001,50,25.0,1,2,1.0,18.0,True,0.09700000000000003
simple,0.001,50,25.0,1,3,1.0,20.0,True,0.09200000000000003
simple,0.001,50,25.0,1,4,1.0,25.0,True,0.09599999999999997
simple,0.001,50,25.0,2,0,1.0,29,True,0.09699999999999998
simple,0.001,50,25.0,2,1,1.0,19,True,0.08799999999999997
simple,0.001,50,25.0,2,2,1.0,31,True,0.08700000000000002
simple,0.001,50,25.0,2,3,1.0,22,True,0.09600000000000003
simple,0.001,50,25.0,2,4,1.0,19,True,0.09100000000000003
simple,0.001,50,25.0,3,0,1.0,18.0,True,0.09999999999999998
simple,0.001,50,25.0,3,1,1.0,25.0,True,0.09999999999999998
simple,0.001,50,25.0,3,2,1.0,16.0,True,0.09700000000000003
simple,0.001,50,25.0,3,3,1.0,16.0,True,0.09800000000000003
simple,0.001,50,25.0,3,4,1.0,19.0,True,0.09399999999999997
simple,0.001,50,25.0,4,0,1.0,26.0,True,0.08899999999999997
simple,0.001,50,25.0,4,1,1.0,20.0,True,0.10400000000000004
simple,0.001,50,25.0,4,2,1.0,21.0,True,0.09999999999999998
simple,0.001,50,25.0,4,3,1.0,19.0,True,0.08599999999999997
simple,0.001,50,25.0,4,4,1.0,20.0,True,0.09399999999999997
simple,0.001,50,25.0,5,0,1.0,27.0,True,0.09199999999999997
simple,0.001,50,25.0,5,1,1.0,16.0,True,0.10200000000000004
simple,0.001,50,25.0,5,2,1.0,24.0,True,0.10299999999999998
simple,0.001,50,25.0,5,3,1.0,19.0,True,0.10299999999999998
simple,0.001,50,25.0,5,4,1.0,18.0,True,0.08899999999999997
simple,0.001,50,25.0,6,0,1.0,24.0,True,0.08799999999999997
simple,0.001,50,25.0,6,1,1.0,17.0,True,0.09899999999999998
simple,0.001,50,25.0,6,2,1.0,18.0,True,0.09500000000000003
simple,0.001,50,25.0,6,3,1.0,23.0,True,0.08400000000000002
simple,0.001,50,25.0,6,4,1.0,19.0,True,0.09399999999999997
simple,0.001,50,25.0,7,0,1.0,19.0,True,0.09100000000000008
simple,0.001,50,25.0,7,1,1.0,15.0,True,0.09499999999999997
simple,0.001,50,25.0,7,2,1.0,33.0,True,0.09599999999999997
simple,0.001,50,25.0,7,3,1.0,27.0,True,0.09900000000000003
simple,0.001,50,25.0,7,4,1.0,20.0,True,0.09500000000000003
simple,0.001,50,25.0,8,0,1.0,20.0,True,0.09099999999999997
simple,0.001,50,25.0,8,1,1.0,19.0,True,0.08699999999999997
simple,0.001,50,25.0,8,2,1.0,21.0,True,0.08599999999999997
simple,0.001,50,25.0,8,3,1.0,19.0,True,0.08699999999999997
simple,0.001,50,25.0,8,4,1.0,47.0,True,0.09499999999999997
simple,0.001,50,25.0,9,0,1.0,21.0,True,0.09799999999999998
simple,0.001,50,25.0,9,1,1.0,20.0,True,0.09499999999999997
simple,0.001,50,25.0,9,2,1.0,41.0,True,0.09300000000000003
simple,0.001,50,25.0,9,3,1.0,20.0,True,0.09299999999999997
simple,0.001,50,25.0,9,4,1.0,26.0,True,0.08600000000000002
simple,0.001,50,25.0,10,0,1.0,17.0,True,0.09100000000000003
simple,0.001,50,25.0,10,1,1.0,20.0,True,0.09299999999999997
simple,0.001,50,25.0,10,2,1.0,17.0,True,0.10599999999999998
simple,0.001,50,25.0,10,3,1.0,20.0,True,0.09699999999999998
simple,0.001,50,25.0,10,4,1.0,16.0,True,0.09400000000000003
simple,0.001,50,25.0,11,0,1.0,18.0,True,0.09499999999999997
simple,0.001,50,25.0,11,1,1.0,18.0,True,0.10500000000000004
simple,0.001,50,25.0,11,2,1.0,20.0,True,0.09799999999999998
simple,0.001,50,25.0,11,3,1.0,17.0,True,0.09000000000000002
simple,0.001,50,25.0,11,4,1.0,22.0,True,0.10300000000000004
simple,0.001,50,25.0,12,0,1.0,17.0,True,0.09200000000000003
simple,0.001,50,25.0,12,1,1.0,23.0,True,0.09499999999999997
simple,0.001,50,25.0,12,2,1.0,19.0,True,0.09499999999999997
simple,0.001,50,25.0,12,3,1.0,20.0,True,0.09100000000000003
simple,0.001,50,25.0,12,4,1.0,24.0,True,0.09000000000000008
simple,0.001,50,25.0,13,0,1.0,29.0,True,0.09700000000000003
simple,0.001,50,25.0,13,1,1.0,19.0,True,0.09800000000000003
simple,0.001,50,25.0,13,2,1.0,17.0,True,0.09999999999999998
simple,0.001,50,25.0,13,3,1.0,17.0,True,0.09599999999999997
simple,0.001,50,25.0,13,4,1.0,21.0,True,0.10899999999999999
simple,0.001,50,25.0,14,0,1.0,17.0,True,0.09699999999999998
simple,0.001,50,25.0,14,1,1.0,20.0,True,0.10699999999999998
simple,0.001,50,25.0,14,2,1.0,23.0,True,0.09499999999999997
simple,0.001,50,25.0,14,3,1.0,20.0,True,0.09700000000000003
simple,0.001,50,25.0,14,4,1.0,20.0,True,0.08100000000000007
simple,0.001,50,25.0,15,0,1.0,22.0,True,0.09999999999999998
simple,0.001,50,25.0,15,1,1.0,36.0,True,0.09099999999999997
simple,0.001,50,25.0,15,2,1.0,32.0,True,0.10100000000000009
simple,0.001,50,25.0,15,3,1.0,18.0,True,0.08699999999999997
simple,0.001,50,25.0,15,4,1.0,21.0,True,0.09500000000000003
simple,0.001,50,25.0,16,0,1.0,23,True,0.09500000000000003
simple,0.001,50,25.0,16,1,1.0,21,True,0.09000000000000002
simple,0.001,50,25.0,16,2,0.999,20,True,0.08899999999999997
simple,0.001,50,25.0,16,3,1.0,20,True,0.09400000000000003
simple,0.001,50,25.0,16,4,1.0,16,True,0.08999999999999997
simple,0.001,50,25.0,17,0,1.0,21.0,True,0.09400000000000003
simple,0.001,50,25.0,17,1,1.0,17.0,True,0.10300000000000004
simple,0.001,50,25.0,17,2,1.0,35.0,True,0.10800000000000004
simple,0.001,50,25.0,17,3,1.0,18.0,True,0.09500000000000003
simple,0.001,50,25.0,17,4,1.0,15.0,True,0.09799999999999998
simple,0.001,50,25.0,18,0,1.0,18.0,True,0.09099999999999997
simple,0.001,50,25.0,18,1,1.0,23.0,True,0.09100000000000008
simple,0.001,50,25.0,18,2,1.0,21.0,True,0.08900000000000008
simple,0.001,50,25.0,18,3,1.0,25.0,True,0.09599999999999997
simple,0.001,50,25.0,18,4,1.0,18.0,True,0.10699999999999998
simple,0.001,50,25.0,19,0,1.0,19,True,0.08500000000000008
simple,0.001,50,25.0,19,1,1.0,18,True,0.09700000000000003
simple,0.001,50,25.0,19,2,1.0,22,True,0.09400000000000003
simple,0.001,50,25.0,19,3,1.0,21,True,0.08300000000000007
simple,0.001,50,25.0,19,4,1.0,19,True,0.08199999999999996
simple,0.001,50,25.0,20,0,1.0,23.0,True,0.08200000000000002
simple,0.001,50,25.0,20,1,1.0,20.0,True,0.09800000000000003
simple,0.001,50,25.0,20,2,1.0,20.0,True,0.09499999999999997
simple,0.001,50,25.0,20,3,1.0,21.0,True,0.08999999999999997
simple,0.001,50,25.0,20,4,1.0,24.0,True,0.09499999999999997
simple,0.001,50,25.0,21,0,1.0,20.0,True,0.09600000000000003
simple,0.001,50,25.0,21,1,1.0,18.0,True,0.09400000000000003
simple,0.001,50,25.0,21,2,1.0,21.0,True,0.09599999999999997
simple,0.001,50,25.0,21,3,1.0,22.0,True,0.09400000000000003
simple,0.001,50,25.0,21,4,1.0,17.0,True,0.10199999999999998
simple,0.001,50,25.0,22,0,1.0,17.0,True,0.08700000000000002
simple,0.001,50,25.0,22,1,1.0,31.0,True,0.08799999999999997
simple,0.001,50,25.0,22,2,1.0,19.0,True,0.09500000000000003
simple,0.001,50,25.0,22,3,1.0,17.0,True,0.10599999999999993
simple,0.001,50,25.0,22,4,1.0,20.0,True,0.09200000000000003
simple,0.001,50,25.0,23,0,1.0,29,True,0.10199999999999998
simple,0.001,50,25.0,23,1,1.0,22,True,0.09200000000000003
simple,0.001,50,25.0,23,2,1.0,27,True,0.10200000000000004
simple,0.001,50,25.0,23,3,1.0,20,True,0.09199999999999997
simple,0.001,50,25.0,23,4,1.0,19,True,0.09399999999999997
simple,0.001,50,25.0,24,0,1.0,23,True,0.08900000000000002
simple,0.001,50,25.0,24,1,1.0,20,True,0.09799999999999998
simple,0.001,50,25.0,24,2,1.0,17,True,0.09700000000000003
simple,0.001,50,25.0,24,3,1.0,26,True,0.08699999999999997
simple,0.001,50,25.0,24,4,1.0,17,True,0.10299999999999998
simple,0.001,50,25.0,25,0,0.999,18.0,True,0.09299999999999997
simple,0.001,50,25.0,25,1,1.0,18.0,True,0.09299999999999997
simple,0.001,50,25.0,25,2,1.0,21.0,True,0.09799999999999998
simple,0.001,50,25.0,25,3,1.0,24.0,True,0.10200000000000004
simple,0.001,50,25.0,25,4,1.0,23.0,True,0.09499999999999997
simple,0.001,50,25.0,26,0,1.0,18.0,True,0.11100000000000004
simple,0.001,50,25.0,26,1,1.0,21.0,True,0.09299999999999997
simple,0.001,50,25.0,26,2,1.0,22.0,True,0.10099999999999998
simple,0.001,50,25.0,26,3,1.0,18.0,True,0.08899999999999997
simple,0.001,50,25.0,26,4,1.0,19.0,True,0.09600000000000003
simple,0.001,50,25.0,27,0,1.0,20.0,True,0.09200000000000003
simple,0.001,50,25.0,27,1,1.0,18.0,True,0.08800000000000002
simple,0.001,50,25.0,27,2,1.0,29.0,True,0.09699999999999998
simple,0.001,50,25.0,27,3,1.0,20.0,True,0.08999999999999997
simple,0.001,50,25.0,27,4,1.0,19.0,True,0.09300000000000003
simple,0.001,50,25.0,28,0,1.0,18,True,0.08600000000000002
simple,0.001,50,25.0,28,1,1.0,27,True,0.09999999999999998
simple,0.001,50,25.0,28,2,1.0,18,True,0.09699999999999998
simple,0.001,50,25.0,28,3,1.0,20,True,0.09799999999999998
simple,0.001,50,25.0,28,4,1.0,27,True,0.08900000000000002
simple,0.001,50,25.0,29,0,1.0,23.0,True,0.09999999999999998
simple,0.001,50,25.0,29,1,1.0,19.0,True,0.09699999999999998
simple,0.001,50,25.0,29,2,1.0,19.0,True,0.10199999999999998
simple,0.001,50,25.0,29,3,1.0,27.0,True,0.09499999999999997
simple,0.001,50,25.0,29,4,1.0,19.0,True,0.08899999999999997
simple,0.001,50,25.0,30,0,1.0,21.0,True,0.09100000000000008
simple,0.001,50,25.0,30,1,1.0,20.0,True,0.09700000000000003
simple,0.001,50,25.0,30,2,1.0,20.0,True,0.09499999999999997
simple,0.001,50,25.0,30,3,1.0,39.0,True,0.09399999999999997
simple,0.001,50,25.0,30,4,1.0,17.0,True,0.11000000000000004
simple,0.001,50,25.0,31,0,1.0,16.0,True,0.09599999999999997
simple,0.001,50,25.0,31,1,1.0,18.0,True,0.09300000000000003
simple,0.001,50,25.0,31,2,1.0,23.0,True,0.09300000000000003
simple,0.001,50,25.0,31,3,1.0,18.0,True,0.11100000000000004
simple,0.001,50,25.0,31,4,1.0,18.0,True,0.09599999999999997
simple,0.001,50,25.0,32,0,1.0,18.0,True,0.09399999999999997
simple,0.001,50,25.0,32,1,1.0,20.0,True,0.08900000000000002
simple,0.001,50,25.0,32,2,1.0,19.0,True,0.09700000000000003
simple,0.001,50,25.0,32,3,1.0,18.0,True,0.10000000000000003
simple,0.001,50,25.0,32,4,1.0,23.0,True,0.08600000000000002
simple,0.001,50,25.0,33,0,1.0,23,True,0.10599999999999998
simple,0.001,50,25.0,33,1,1.0,21,True,0.09500000000000003
simple,0.001,50,25.0,33,2,1.0,26,True,0.09499999999999997
simple,0.001,50,25.0,33,3,1.0,18,True,0.10100000000000003
simple,0.001,50,25.0,33,4,1.0,22,True,0.10899999999999999
simple,0.001,50,25.0,34,0,1.0,25.0,True,0.09200000000000003
simple,0.001,50,25.0,34,1,1.0,24.0,True,0.10500000000000004
simple,0.001,50,25.0,34,2,1.0,21.0,True,0.10600000000000004
simple,0.001,50,25.0,34,3,1.0,20.0,True,0.09600000000000003
simple,0.001,50,25.0,34,4,1.0,20.0,True,0.09300000000000003
simple,0.001,50,25.0,35,0,1.0,20,True,0.09900000000000003
simple,0.001,50,25.0,35,1,1.0,20,True,0.09600000000000003
simple,0.001,50,25.0,35,2,1.0,21,True,0.09999999999999998
simple,0.001,50,25.0,35,3,1.0,24,True,0.10299999999999998
simple,0.001,50,25.0,35,4,1.0,19,True,0.09399999999999997
simple,0.001,50,25.0,36,0,1.0,24,True,0.09400000000000003
simple,0.001,50,25.0,36,1,1.0,18,True,0.10200000000000004
simple,0.001,50,25.0,36,2,1.0,18,True,0.10200000000000004
simple,0.001,50,25.0,36,3,1.0,23,True,0.09500000000000003
simple,0.001,50,25.0,36,4,1.0,26,True,0.09300000000000003
simple,0.001,50,25.0,37,0,1.0,19.0,True,0.10200000000000004
simple,0.001,50,25.0,37,1,1.0,17.0,True,0.09800000000000003
simple,0.001,50,25.0,37,2,1.0,19.0,True,0.10200000000000009
simple,0.001,50,25.0,37,3,1.0,25.0,True,0.08700000000000002
simple,0.001,50,25.0,37,4,1.0,28.0,True,0.09599999999999997
simple,0.001,50,25.0,38,0,1.0,22.0,True,0.09899999999999998
simple,0.001,50,25.0,38,1,1.0,24.0,True,0.08399999999999996
simple,0.001,50,25.0,38,2,1.0,20.0,True,0.09500000000000003
simple,0.001,50,25.0,38,3,1.0,18.0,True,0.10100000000000003
simple,0.001,50,25.0,38,4,1.0,23.0,True,0.09699999999999998
simple,0.001,50,25.0,39,0,1.0,21.0,True,0.09000000000000002
simple,0.001,50,25.0,39,1,1.0,21.0,True,0.09100000000000003
simple,0.001,50,25.0,39,2,1.0,16.0,True,0.10200000000000004
simple,0.001,50,25.0,39,3,1.0,21.0,True,0.09300000000000003
simple,0.001,50,25.0,39,4,1.0,19.0,True,0.09399999999999997
simple,0.001,50,25.0,40,0,1.0,24.0,True,0.08500000000000008
simple,0.001,50,25.0,40,1,1.0,21.0,True,0.09699999999999998
simple,0.001,50,25.0,40,2,1.0,19.0,True,0.09899999999999998
simple,0.001,50,25.0,40,3,1.0,22.0,True,0.09300000000000003
simple,0.001,50,25.0,40,4,1.0,22.0,True,0.08400000000000002
simple,0.001,50,25.0,41,0,1.0,17.0,True,0.08600000000000002
simple,0.001,50,25.0,41,1,1.0,24.0,True,0.09799999999999998
simple,0.001,50,25.0,41,2,1.0,24.0,True,0.09299999999999997
simple,0.001,50,25.0,41,3,1.0,19.0,True,0.07999999999999996
